,manifolds,count<51,time
39,K15n108834,"[0, 5, 0, 4, 0, 10, 0, 14, 0, 28, 0, 26, 0, 54, 0, 52, 0, 78, 0, 76, 0, 130, 0, 100, 0, 179, 0, 150, 0, 199, 0, 200, 0, 304, 0, 222, 0, 377, 0, 294, 0, 391, 0, 370, 0, 546, 0, 387, 0]",306.65889459475875
40,K15n125439,"[0, 6, 0, 5, 0, 12, 0, 16, 0, 32, 0, 28, 0, 60, 0, 56, 0, 84, 0, 79, 0, 139, 0, 103, 0, 189, 0, 154, 0, 206, 0, 203, 0, 316, 0, 222, 0, 390, 0, 296, 0, 397, 0, 371, 0, 558, 0, 385, 0]",403.59370419289917
41,t12766,"[4, 4, 10, 14, 28, 26, 54, 52, 78, 76, 130, 100, 180, 150, 199, 200, 302, 222, 378, 295, 395, 370, 549, 392, 616, 514, 663, 587, 863, 582, 983, 780, 975, 875, 1168, 873, 1396, 1092, 1354, 1152, 1700, 1150, 1875, 1450, 1727, 1594, 2235, 1529, 2372]",529.3318076459691
42,K15n93515,"[0, 6, 0, 5, 0, 12, 0, 16, 0, 31, 0, 28, 0, 58, 0, 53, 0, 82, 0, 79, 0, 131, 0, 99, 0, 184, 0, 147, 0, 202, 0, 201, 0, 296, 0, 220, 0, 371, 0, 287, 0, 397, 0, 360, 0, 534, 0, 377, 0]",395.6952731492929
43,K15n155324,"[0, 8, 0, 6, 0, 14, 0, 18, 0, 35, 0, 30, 0, 63, 0, 57, 0, 86, 0, 82, 0, 137, 0, 104, 0, 187, 0, 149, 0, 199, 0, 202, 0, 299, 0, 218, 0, 363, 0, 281, 0, 379, 0, 352, 0, 510, 0, 369, 0]",724.808247401379
44,K15n135706,"[2, 6, 0, 5, 0, 12, 0, 16, 0, 31, 0, 28, 0, 58, 0, 53, 0, 82, 0, 78, 0, 132, 0, 101, 0, 184, 0, 147, 0, 201, 0, 203, 0, 303, 0, 221, 0, 374, 0, 287, 0, 398, 0, 368, 0, 537, 0, 384, 0]",847.1265867929906
45,K15n107121,"[0, 10, 0, 9, 0, 22, 0, 30, 0, 59, 0, 54, 0, 112, 0, 105, 0, 160, 0, 155, 0, 261, 0, 201, 0, 364, 0, 296, 0, 402, 0, 401, 0, 605, 0, 442, 0, 755, 0, 580, 0, 792, 0, 735, 0, 1079, 0, 775, 0]",1029.707173564937
46,o9_43972,"[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1140.6228244048543
47,o9_42517,"[6, 4, 10, 14, 26, 26, 52, 46, 76, 76, 118, 96, 172, 136, 194, 196, 286, 212, 354, 274, 388, 360, 505, 378, 601, 489, 634, 573, 818, 568, 945, 728, 944, 846, 1119, 862, 1354, 1037, 1312, 1144, 1632, 1135, 1797, 1382, 1707, 1564, 2125, 1501, 2319]",1230.7625458249822
48,K13n4022,"[0, 12, 0, 10, 0, 24, 0, 32, 0, 62, 0, 56, 0, 116, 0, 106, 0, 164, 0, 158, 0, 264, 0, 202, 0, 370, 0, 296, 0, 405, 0, 406, 0, 609, 0, 444, 0, 756, 0, 581, 0, 802, 0, 738, 0, 1080, 0, 775, 0]",1564.4664416778833
49,o9_44223,"[7, 6, 12, 12, 24, 12, 36, 24, 36, 24, 60, 24, 72, 36, 48, 48, 96, 36, 108, 48, 72, 60, 132, 48, 120, 72, 108, 72, 168, 48, 180, 96, 120, 96, 144, 72, 216, 108, 144, 96, 240, 72, 252, 120, 144, 132, 276, 96, 252]",1630.5248094908893
50,K15n63250,"[4, 6, 4, 8, 8, 14, 12, 22, 12, 36, 20, 34, 24, 66, 16, 68, 32, 90, 36, 92, 24, 150, 44, 116, 40, 203, 36, 174, 56, 215, 60, 232, 40, 336, 48, 245, 72, 413, 48, 327, 80, 414, 84, 410, 48, 590, 92, 418, 84]",1976.4375091036782
51,K15n27228,"[4, 8, 4, 9, 8, 16, 12, 24, 12, 39, 20, 36, 24, 70, 16, 69, 32, 94, 36, 95, 24, 152, 44, 117, 40, 209, 36, 172, 56, 219, 60, 235, 40, 337, 48, 246, 72, 414, 48, 323, 80, 425, 84, 409, 48, 585, 92, 420, 84]",2090.5415741759352
52,K11n73,"[8, 4, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",2011.8983026039787
